Horizon,MAE,MASE,SMAPE
96,14.55725916926658,0.8345889279074984,0.05725336154630894
672,25.113734575029497,1.4398070798229339,0.10506392101033228
1440,33.21323208656401,1.904163100839053,0.13803937886723053
2688,44.40980826718365,2.5460791649939214,0.18056942769965476
13920,73.64306261184211,4.222064329444692,0.3027395646405112
